IT要求	説明	業務要求
モデル自動生成エンジン	企画アイデアを入力として受け取り、匠Methodの各フェーズ（ステークホルダー/価値デザイン/価値分析/要求分析）のモデルをAIが自動生成する処理エンジン。AIエージェントが各フェーズを順次実行し、成果物TSVやJSONを生成する	企画アイデアを入力すると即時にモデルを生成できること
品質自動検証機能	生成された各フェーズの成果物（ビジョン・コンセプト・価値記述・業務要求等）に対し、品質基準に照らして自動的に検証を行い、問題点や改善点を検出・レポートする機能	成果物の品質基準を定義し、自動検証によって安定した品質を担保できること
品質評価可視化ダッシュボード	品質検証結果をスコアや指標でユーザーに視覚的に表示するダッシュボード。各フェーズの品質スコア・問題点・改善提案を一覧で確認できる	成果物の品質評価結果をユーザーに分かりやすく可視化できること
企画書・計画書自動生成機能	完成した企画モデル（要求分析ツリー・価値デザインモデル等）を元に、提案書・MSP計画書・ゴール記述モデルなどのドキュメントを一貫して自動生成する機能	企画モデルから提案書・計画書を一貫して自動生成できること
ステップガイダンス表示機能	各フェーズ・ステップで何を考えるべきか・何を判断すべきかのガイダンスをリアルタイムで提供し、ユーザーが判断に迷わず進められるよう支援する機能	各フェーズ・ステップで何を判断すべきかのガイダンスを提供できること
非同期バッチ処理機能	モデル生成・品質検証などの重い処理をバックグラウンドで非同期実行し、ユーザーが通常業務を続けながら企画プロセスを並行して進められるようにするジョブ管理機能	通常業務と並行して企画プロセスを非同期に進められること
チーム共有・共同編集機能	複数メンバーが企画モデルを一元管理・共有し、同一プロジェクトの成果物をチームで閲覧・編集できる機能。アクセス権管理・変更履歴管理を含む	チームで作成した企画モデルを一元管理・共有できること
DrawIOモデル可視化機能	生成した匠Methodの各モデル（ステークホルダー/価値デザイン/価値分析/要求分析ツリー/ビジネスコンテキストフロー）をDrawIO形式の図として自動生成し、視覚的に確認できる機能	企画コンサル業務の工数を削減し、スループットを向上できること
匠Method学習コンテンツ連携機能	各フェーズ・成果物の生成に際して、匠Methodの概念・観点・良し悪しの解説をインラインで提示し、ツール利用を通じて匠Methodを学習・習熟できるようにする機能	ツールの利用を通じて匠Methodを学習・習熟できること
AIファシリテーション支援機能	顧客との対話内容やヒアリング情報を入力として、AIが企画モデルへの変換・要約・整理を支援し、ファシリテーターが対話そのものに集中できる環境を提供する機能	ファシリテーターが顧客との本質的な対話に集中できること
進行管理・プロセストラッキング機能	企画プロセスの全体進捗（フェーズ完了状況・残タスク・品質状態）をAIが管理・可視化し、次のアクションをファシリテーターに提示する機能	企画プロセスの進行管理をAIが支援し、ファシリテーターの管理負荷を削減できること
AI生成成果物レビュー機能	AIが生成した企画モデルをファシリテーターが確認・修正・承認できるレビューインターフェース。変更箇所の差分表示や承認フロー管理を含む	AIが生成した企画モデルの品質をファシリテーターが確認・保証できること
ROI・投資対効果可視化機能	企画モデルをもとに、価値概念のインパクト評価・スコア乖離検証・MSP計画などを統合してROI・投資対効果を可視化し、経営層の意思決定を支援するレポート生成機能	企画のROI・投資対効果を可視化し、経営層の意思決定を支援できること
マルチテナント・組織管理機能	法人向けに組織単位でユーザー・プロジェクト・権限を管理し、全社的に匠Methodを均質に浸透・定着させるための組織階層管理・利用統計機能	組織全体に匠Methodを均質に浸透・定着させられること
